Insee - Statistiques locales; ; 
Référentiel géographique : France par zone d'emploi 2020; ; 
Code;Libellé;Indice de vieillissement 2022
8420;Les Sources de la Loire;117.3
8421;Lyon;67.4
8422;Montélimar;95.3
8423;Montluçon;149.1
8424;Moulins;135.8
8425;Oyonnax;74.4
8426;Roanne;120.2
8427;Romans-sur-Isère;99
8428;Saint-Étienne;87.4
8429;Saint-Flour;163.6
8430;Tarare;96
8431;Valence;95.8
8432;Vichy;142
8433;Vienne-Annonay;89.7
8434;Villefranche-sur-Saône;73.6
8435;Voiron;89.1
9301;Aix-en-Provence;96
9302;Briançon;115.3
9303;Brignoles;103.3
9304;Cannes;127.9
9305;Carpentras;104.6
9306;Cavaillon;122.5
9307;Digne-les-Bains;138.2
9308;Draguignan;116.1
9309;Fréjus;177.6
9310;Gap;130.7
9311;Manosque;124.1
9312;Marseille;88.9
9313;Martigues-Salon;89
9314;Menton;124.9
9315;Nice;113.4
9316;Orange;96.5
9317;Sainte-Maxime;156.3
9318;Toulon;135.9
9401;Ajaccio;119
9402;Bastia;122.7
9403;Calvi;139.5
9404;Corte;122.9
9405;Ghisonaccia;133.8
9406;Porto-Vecchio;101.8
9407;Propriano;171.7
