Libelle;Densite de generalistes lib. 2024;Densite de population (historique depuis 1876) en 2022.;Part des personnes agees de 75 ans ou plus, 2022;Taux d'activité par tranche d'âge (25 à 59 ans), 2022;Part des ménages fiscaux imposés, 2021;Part des actifs occupés de 15 ans ou plus qui utilisent principalement les transports en commun pour aller travailler, 2022;Présence d'une faculté de médecine;Part de bénéf. de produits pharma dans la pop 2024;Densité d'infirmiers lib. 2024;Densité de kinés lib. 2024;Indice de vieillissement 2022
ZONE;DENS_MED_LIB;DENSITE;PART_75;TAUX_ACTIV;PART_IMPOT;PART_TRANS_COMM;UNIV;PART_PHARMA;DENS_INF;DENS_KIN;IND_VIEIL
Saumur;7;79.6;11.9;92.3;44.2;2.8;0;92;14.3;8.8;105
Segre-en-Anjou Bleu;7.5;54.6;10.9;93.9;42.6;1.2;0;90.2;11.6;5.9;82.5
Auray;12.3;159.3;13;93.6;53.5;2.9;0;95.5;25.4;23.2;141.7
Brest;11.2;235.3;9.9;91.9;53.4;7.6;1;89.7;17.2;13.3;90.2
Carhaix-Plouguer;8;30.3;14.3;89.6;40.8;1;0;88.6;29.7;7.2;161.7
Dinan;8.1;97.9;12.5;93.8;49.1;2.1;0;94.8;14.6;9.5;123.8
Fougeres;5.9;85;11.5;93.1;44.7;2.3;0;88.7;10.7;7.5;96.2
Guingamp;6.2;66.4;12;91.3;43.2;1.7;0;91.2;16.9;8.4;112.7
Lamballe-Armor;6.1;61.3;12.3;94.6;50.8;2.1;0;95.1;15.3;9.1;118.1
Lannion;8.9;127.3;15.7;92.2;51.7;2.1;0;92;24;10.4;173.3
Lorient;10.2;233.6;12.1;90.6;51.4;5.8;0;92.2;21.8;14.7;120.4
Morlaix;7.9;96.2;12;92.3;47.7;2.5;0;93.4;25.6;12.6;119.3
Ploermel;8;55.8;11.3;93.6;46;1.3;0;90.7;21.3;10.1;107.1
Pontivy-Loudeac;5.5;61.9;11.4;93;46.4;1.3;0;91.4;18.9;7.1;104.3
Quimper;10.8;144.6;12.9;92.4;51.8;3.5;0;94.7;24;14;138.8
Quimperle;10;83.3;11.9;92.6;49.7;2;0;93.6;21.8;12.6;122.7
Rennes;9.4;229.7;7.5;92.8;56.1;13.9;1;90.3;10.3;14.4;61.8
Saint-Brieuc;6.8;170.8;11.6;93.3;51.1;4.1;0;95.8;13.8;9;105
Saint-Malo;10.5;186;13.7;92.6;52.1;5;0;95.7;19;14.8;140.5
Vannes;11.4;157.3;11.8;92.9;55.8;4.1;0;97.3;18.7;17;121.8
Vitre;7.4;87.6;9.1;95.6;49.5;4;0;90.9;10.2;9.5;68.5
Agen;6.5;81.6;11.9;91.1;48.2;2.9;0;93.9;17.9;10.7;111
Angouleme;6.4;67.5;12.5;91.6;47.4;4.2;0;90.8;13.4;7.5;126
Bayonne;13.4;163.8;12.6;92.4;53.7;4.4;0;95.7;25.6;30.1;130.3
